Lithology,GeologicalFormationThickness(m),ReservoirThickness(m),GasPermeability(mD),LiquidPermeability(mD),RFC_P10,RFC_P25,RFC_P50,RFC_P75,RFC_P90
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,3.3528,3.35,0.003,0.00066,0.00052,0.00087,0.00154,0.00272,0.00457
Sandstone,3.3528,3.35,0.003,0.00066,0.00052,0.00087,0.00154,0.00272,0.00457
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,3.3528,3.35,0.003,0.00066,0.00052,0.00087,0.00154,0.00272,0.00457
Sandstone,3.3528,3.35,0.003,0.00066,0.00052,0.00087,0.00154,0.00272,0.00457
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,3.3528,3.35,0.003,0.00066,0.00052,0.00087,0.00154,0.00272,0.00457
Sandstone,7.3152,7.32,0.003,0.00066,0.00114,0.0019,0.00337,0.00595,0.00999
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,6.7056,6.71,0.003,0.00053,0.00084,0.0014,0.00248,0.00438,0.00735
Sandstone,6.7056,6.71,0.003,0.00053,0.00084,0.0014,0.00248,0.00438,0.00735
Sandstone,4.572,4.57,2,1.59302,3.3786,4.5725,6.419,8.9968,12.187
Sandstone,4.572,4.57,2,1.59302,3.3786,4.5725,6.419,8.9968,12.187
Sandstone,6.7056,6.71,0.003,0.00053,0.00084,0.0014,0.00248,0.00438,0.00735
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.9144,0.91,0.003,0.00066,0.00014,0.00024,0.00042,0.00074,0.00124
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,3.3528,3.35,0.003,0.00066,0.00052,0.00087,0.00154,0.00272,0.00457
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Dolomite,16.1544,16.15,22.4,17.50451,131.2,177.56,249.26,349.36,473.24
Sandstone,23.4696,23.47,0.003,0.00094,0.0052,0.00866,0.01537,0.02718,0.04562
Sandstone,3.6576,3.66,0.003,0.00048,0.00041,0.00069,0.00122,0.00216,0.00363
Sandstone,11.5824,11.58,1,0.74977,2.0464,3.4082,6.0488,10.697,17.955
Sandstone,22.86,22.86,1,0.74977,4.0398,6.7282,11.941,21.117,35.444
Limestone,9.7536,9.75,0.001,0.0003,0.00069,0.00115,0.00204,0.0036,0.00605
Sandstone,0.6096,0.61,1,0.74977,0.1078,0.17954,0.31863,0.56349,0.9458
Sandstone,3.9624,3.96,1,0.74977,0.69981,1.1655,2.0685,3.6581,6.1399
Sandstone,10.3632,10.36,1,0.79013,1.9294,3.2133,5.7029,10.085,16.928
Sandstone,2.4384,2.44,1,0.79013,0.45441,0.7568,1.3431,2.3753,3.9868
Sandstone,2.4384,2.44,1,0.79013,0.45441,0.7568,1.3431,2.3753,3.9868
Sandstone,2.4384,2.44,1,0.79013,0.45441,0.7568,1.3431,2.3753,3.9868
Sandstone,4.8768,4.88,1,0.80333,0.924,1.5389,2.7312,4.8299,8.1069
Sandstone,10.3632,10.36,1,0.79013,1.9294,3.2133,5.7029,10.085,16.928
Sandstone,5.7912,5.79,1,0.80333,1.0963,1.8259,3.2405,5.7306,9.6186
Sandstone,0.6096,0.61,1,0.76802,0.11042,0.18391,0.32639,0.5772,0.96882
Sandstone,74.0664,74.07,0.1,0.05566,0.97173,1.6184,2.8722,5.0794,8.5256
Sandstone,63.3984,63.4,0.1,0.05566,0.83175,1.3852,2.4585,4.3477,7.2975
Sandstone,26.2128,26.21,0.003,0.00066,0.00408,0.00679,0.01205,0.02131,0.03577
